order_id,date,region,category,product,sales,quantity,discount,profit,customer_age,gender,rating
1001,2022-01-01,East,Sports,TV,36322,15,0.2,8041,26,Female,5.0
1002,2022-01-02,West,Sports,Jacket,14075,16,0.0,3453,50,Male,3.8
1003,2022-01-03,North,Electronics,Laptop,8470,5,0.05,881,69,Male,3.5
1004,2022-01-04,East,Food,TV,35411,6,0.25,7894,42,Male,4.1
1005,2022-01-05,East,Clothing,Chair,22091,19,0.25,6502,31,Female,2.8
1006,2022-01-06,West,Electronics,Rice,32321,5,0.0,3382,28,Male,4.1
1007,2022-01-07,North,Clothing,Phone,10003,3,0.15,1843,52,Male,3.7
1008,2022-01-08,North,Clothing,TV,48417,1,0.0,7862,58,Male,3.5
1009,2022-01-09,East,Food,Laptop,19422,6,0.15,2187,31,Male,4.9
1010,2022-01-10,South,Clothing,Laptop,12675,15,0.15,3090,47,Male,3.8
1011,2022-01-11,East,Clothing,TV,41624,2,0.1,6432,58,Male,3.0
1012,2022-01-12,East,Food,Shoes,21889,3,0.25,7068,21,Female,3.6
1013,2022-01-13,East,Clothing,Phone,48338,17,0.2,17130,21,Female,4.8
1014,2022-01-14,East,Clothing,Shoes,1322,12,0.15,349,45,Male,2.9
1015,2022-01-15,West,Clothing,Rice,17827,18,0.1,7033,25,Female,3.0
1016,2022-01-16,North,Electronics,Laptop,47557,15,0.25,11183,19,Female,2.5
1017,2022-01-17,West,Electronics,Laptop,6650,12,0.2,1689,58,Male,2.5
1018,2022-01-18,West,Electronics,Chair,4925,16,0.15,1954,63,Male,4.6
1019,2022-01-19,West,Food,Rice,16532,8,0.15,2802,39,Male,4.3
1020,2022-01-20,East,Sports,Laptop,2698,14,0.0,1033,58,Female,3.4
1021,2022-01-21,South,Clothing,Rice,20579,17,0.0,2322,33,Male,4.2
1022,2022-01-22,North,Clothing,Phone,36720,8,0.25,8589,46,Female,3.5
1023,2022-01-23,South,Food,Shirt,42374,15,0.2,5127,66,Male,4.9
1024,2022-01-24,West,Clothing,Laptop,14359,14,0.15,4577,65,Female,4.9
1025,2022-01-25,West,Electronics,Chair,31919,18,0.25,9018,47,Male,3.5
1026,2022-01-26,South,Sports,Phone,9205,7,0.25,2872,29,Male,4.6
1027,2022-01-27,South,Furniture,TV,43380,3,0.05,9211,52,Female,4.4
1028,2022-01-28,South,Clothing,Rice,23736,12,0.0,5005,28,Female,3.3
1029,2022-01-29,West,Electronics,TV,22919,3,0.2,2604,63,Female,3.1
1030,2022-01-30,West,Furniture,Shoes,20478,14,0.15,4198,67,Female,3.6
1031,2022-01-31,North,Sports,Phone,38109,15,0.25,14435,38,Female,4.5
1032,2022-02-01,North,Furniture,TV,15858,14,0.15,3390,38,Female,4.9
1033,2022-02-02,West,Electronics,Jacket,34677,7,0.05,12117,22,Male,4.4
1034,2022-02-03,South,Furniture,Jacket,29878,17,0.2,10538,65,Female,4.6
1035,2022-02-04,South,Food,Laptop,37834,12,0.25,8020,37,Male,4.0
1036,2022-02-05,North,Furniture,Rice,11882,4,0.15,3441,54,Male,4.6
1037,2022-02-06,West,Clothing,Shirt,15096,9,0.0,1942,20,Female,4.5
1038,2022-02-07,North,Clothing,Phone,34072,6,0.05,4467,61,Male,3.4
1039,2022-02-08,North,Food,Laptop,13721,16,0.2,1572,50,Female,3.9
1040,2022-02-09,East,Electronics,Chair,1779,2,0.05,488,26,Female,4.5
1041,2022-02-10,East,Clothing,Shoes,46460,8,0.0,10585,26,Male,2.6
1042,2022-02-11,East,Sports,Rice,7583,11,0.2,2005,21,Male,4.5
1043,2022-02-12,South,Clothing,Phone,44361,13,0.05,11371,52,Female,2.9
1044,2022-02-13,West,Clothing,Jacket,18271,17,0.1,3747,34,Female,3.8
